,Unnamed: 0,Given category,Given sub_category,Category,Sub_Category,brand,type
1223,5105,"Kitchen, Garden & Pets",Pet Food & Accessories,,,Get Off,Pet Cleaning & Grooming
1227,5131,Beauty & Hygiene,Skin Care,,,Episoft,Face Care
1234,5204,Cleaning & Household,Bins & Bathroom Ware,,,Indian,"Hangers, Clips & Rope"
1235,5207,"Kitchen, Garden & Pets",Storage & Accessories,,,camry,Racks & Holders
1237,5220,Beauty & Hygiene,Fragrances & Deos,,,Jacques Bogart,Eau De Toilette
1238,5221,Beauty & Hygiene,Fragrances & Deos,,,Mercedes-Benz,Eau De Toilette
1239,5236,Cleaning & Household,Fresheners & Repellents,,,Exit No Entry,Insect Repellent
1241,5249,Beauty & Hygiene,Men's Grooming,,,Palmer's,Face & Body
1251,5314,Beauty & Hygiene,Hair Care,,,OGX,Hair & Scalp Treatment
1263,5348,Beauty & Hygiene,Hair Care,,,Subicsha,Hair Oil & Serum
1265,5362,Beauty & Hygiene,Skin Care,,,Naturals,Body Care
1268,5416,"Kitchen, Garden & Pets",Steel Utensils,,,Aagam,Plates & Tumblers
1288,5609,"Kitchen, Garden & Pets",Kitchen Accessories,,,Cook4U,Kitchen Tools & Other Accessories
1295,5698,Beauty & Hygiene,Hair Care,,,YVES ROCHER,Shampoo & Conditioner
1296,5700,Beauty & Hygiene,Fragrances & Deos,,,United Colors Of Benetton ,Eau De Toilette
1300,5754,Beauty & Hygiene,Hair Care,,,Ego of Paris,Tools & Accessories
1304,5784,Beauty & Hygiene,Hair Care,,,Wonder,Tools & Accessories
1305,5804,"Kitchen, Garden & Pets",Steel Utensils,,,Frestol,Copper Utensils
1320,5975,Beauty & Hygiene,Men's Grooming,,,Godrej Cinthol,Talc
1321,5983,"Kitchen, Garden & Pets",Storage & Accessories,,,Mastercook,Containers Sets
1322,5995,"Kitchen, Garden & Pets",Storage & Accessories,,,Big Plastics,Containers Sets
1327,6062,Beauty & Hygiene,Men's Grooming,,,Navratna,Talc
1330,6128,Cleaning & Household,Stationery,,,Copy Gold,"Notebooks, Files, Folders"
1331,6130,Cleaning & Household,Stationery,,,B2B,"Notebooks, Files, Folders"
1332,6132,Cleaning & Household,Stationery,,,JK Copier,"Notebooks, Files, Folders"
1335,6153,"Kitchen, Garden & Pets",Steel Utensils,,,Suryaflame,Copper Utensils
1338,6159,"Kitchen, Garden & Pets",Steel Utensils,,,Mr.Copper King,Copper Utensils
1343,6200,"Kitchen, Garden & Pets",Steel Utensils,,,HealthChoice,Copper Utensils
1348,6238,"Kitchen, Garden & Pets",Appliances & Electricals,,,Lexton,CFL & Led Bulbs
1349,6242,"Kitchen, Garden & Pets",Steel Utensils,,,IRICH,Copper Utensils
1355,6262,"Kitchen, Garden & Pets",Steel Utensils,,,Tallboy,Copper Utensils
1361,6297,Cleaning & Household,Bins & Bathroom Ware,,,Mr. Boss,"Hangers, Clips & Rope"
1370,6382,Cleaning & Household,Stationery,,,Prozo Plus,"Notebooks, Files, Folders"
1373,6444,"Kitchen, Garden & Pets",Kitchen Accessories,,,Adithya,Kitchen Tools & Other Accessories
1374,6469,Beauty & Hygiene,Health & Medicine,,,FabAlley,Face Masks & Safety Gears
1375,6476,Beauty & Hygiene,Health & Medicine,,,SINWUAS,Cotton & Ear Buds
1386,6618,Cleaning & Household,Fresheners & Repellents,,,Odomos,Mosquito Repellent
1388,6638,Beauty & Hygiene,Hair Care,,,Streax,Hair Color
1389,6650,Beauty & Hygiene,Feminine Hygiene,,,Veet,Hair Removal
1390,6697,Beauty & Hygiene,Skin Care,,,Oxy Life,Face Care
1392,6711,"Kitchen, Garden & Pets",Pet Food & Accessories,,,Dogsee Chew,Pet Meals & Treats
1393,6732,Beauty & Hygiene,Skin Care,,,Biocare ,Body Care
1394,6752,Snacks & Branded Foods,"Noodle, Pasta, Vermicelli",,,Nissin Food,Cup Noodles
1395,6761,Beauty & Hygiene,Health & Medicine,,,Azani Active Nutrition,Supplements & Proteins
1397,6780,"Kitchen, Garden & Pets",Pet Food & Accessories,,,Ferplast,Pet Toys
1398,6813,Cleaning & Household,Pooja Needs,,,Yagna,"Agarbatti, Incense Sticks"
1399,6817,Cleaning & Household,Stationery,,,QIPS,Exam Pads & Pencil Box
1402,6829,Beauty & Hygiene,Bath & Hand Wash,,,Candid,Talcum Powder
1403,6848,Beauty & Hygiene,Skin Care,,,Lacto Calamine,Face Care
1404,6856,Beauty & Hygiene,Skin Care,,,Anatomicals,Face Care
1409,6964,Beauty & Hygiene,Skin Care,,,Avene,Face Care
1413,6986,Cleaning & Household,Fresheners & Repellents,,,Mukund,Insect Repellent
1416,7049,Beauty & Hygiene,Skin Care,,,Mondsub,Face Care
1418,7095,Beauty & Hygiene,Skin Care,,,Charmis,Face Care
1419,7104,Cleaning & Household,Pooja Needs,,,Om sri Kar,Camphor & Wicks
1423,7169,Beauty & Hygiene,Fragrances & Deos,,,Adidas,Men's Deodorants
1424,7170,Beauty & Hygiene,Fragrances & Deos,,,Aramusk,Men's Deodorants
1428,7220,Cleaning & Household,Pooja Needs,,,Ullas,"Agarbatti, Incense Sticks"
1431,7272,Beauty & Hygiene,Hair Care,,,Vega,Tools & Accessories
1437,7320,Cleaning & Household,Pooja Needs,,,Amrutha,"Agarbatti, Incense Sticks"
1446,7410,"Kitchen, Garden & Pets",Steel Utensils,,,Classic Essentials,Plates & Tumblers
1447,7412,Beauty & Hygiene,Bath & Hand Wash,,,Jungle Magic,Hand Wash & Sanitizers
1448,7421,Beauty & Hygiene,Bath & Hand Wash,,,Ciphands,Hand Wash & Sanitizers
1449,7423,Beauty & Hygiene,Health & Medicine,,,Threptin,Supplements & Proteins
1450,7426,"Kitchen, Garden & Pets",Storage & Accessories,,,Hm International,Lunch Boxes
1453,7532,Cleaning & Household,Party & Festive Needs,,,Chuk,Disposable Cups & Plates
1454,7564,"Kitchen, Garden & Pets",Pet Food & Accessories,,,Himalaya Pet Care,Pet Cleaning & Grooming
1455,7580,"Kitchen, Garden & Pets",Pet Food & Accessories,,,Choostix,Pet Cleaning & Grooming
1457,7618,Cleaning & Household,Stationery,,,Scotch,"Scissor, Glue & Tape"
1458,7621,Beauty & Hygiene,Health & Medicine,,,Healthmeds,Supplements & Proteins
1464,7679,Cleaning & Household,Stationery,,,Seven,"Scissor, Glue & Tape"
1465,7701,Beverages,"Health Drink, Supplement",,,Ojasvita,Kids (5+Yrs)
1468,7720,Beauty & Hygiene,Feminine Hygiene,,,Niine,Sanitary Napkins
1470,7739,Beauty & Hygiene,Skin Care,,,Bio-Oil,Body Care
1476,7807,Cleaning & Household,Pooja Needs,,,Maya,"Agarbatti, Incense Sticks"
1478,7814,Cleaning & Household,Bins & Bathroom Ware,,,Meixiang,Dustbins
1479,7820,Cleaning & Household,Bins & Bathroom Ware,,,Sunty,Dustbins
1481,7836,Beauty & Hygiene,Hair Care,,,Godrej Expert,Hair Color
1482,7857,Beauty & Hygiene,Hair Care,,,Indica,Hair Color
1484,7873,Beauty & Hygiene,Men's Grooming,,,Premium,Shaving Care
1486,7894,Beauty & Hygiene,Fragrances & Deos,,,Colour Me,Eau De Toilette
1487,7913,Beauty & Hygiene,Feminine Hygiene,,,Agastya,Sanitary Napkins
1490,7959,Beauty & Hygiene,Skin Care,,,The Beauty Co.,Body Care
1491,8005,Beverages,"Health Drink, Supplement",,,Maltova,Kids (5+Yrs)
1495,8030,Beauty & Hygiene,Fragrances & Deos,,,Incidence,Women's Deodorants
1499,8093,Beauty & Hygiene,Feminine Hygiene,,,Braun,Hair Removal
1505,8183,Beauty & Hygiene,Skin Care,,,Vedicline,Face Care
1507,8191,Beauty & Hygiene,Health & Medicine,,,Sri Swastik,Everyday Medicine
1508,8200,Beauty & Hygiene,Skin Care,,,Soultree Ayurvedic,Face Care
1509,8208,Beauty & Hygiene,Feminine Hygiene,,,LetsShave,Hair Removal
1510,8244,"Kitchen, Garden & Pets",Storage & Accessories,,,Signoraware,Lunch Boxes
1511,8258,Beauty & Hygiene,Skin Care,,,Footlogix,Face Care
1512,8282,Beauty & Hygiene,Health & Medicine,,,Lifree,Adult Diapers
1523,8453,Beauty & Hygiene,Health & Medicine,,,MG Polyplast,Face Masks & Safety Gears
1526,8460,Beauty & Hygiene,Health & Medicine,,,SEMCO,Face Masks & Safety Gears
1527,8464,Beauty & Hygiene,Men's Grooming,,,FAIR AND HANDSOME,Face Care
1528,8465,Beauty & Hygiene,Skin Care,,,Lite Glo,Face Care
1536,8537,Beauty & Hygiene,Skin Care,,,Oxy,Face Care
1540,8563,Beauty & Hygiene,Skin Care,,,Acnes,Face Care
1547,8628,Beauty & Hygiene,Skin Care,,,Vedaearth,Face Care
1549,8636,Beauty & Hygiene,Skin Care,,,Calvin Klein ,Face Care
1554,8700,Beauty & Hygiene,Fragrances & Deos,,,Anna sui,Gift Sets
1556,8710,Beauty & Hygiene,Hair Care,,,Wellastrate,Tools & Accessories
1564,8796,Beauty & Hygiene,Bath & Hand Wash,,,Fiama,Shower Gel & Body Wash
1567,8882,Beauty & Hygiene,Bath & Hand Wash,,,Bibo,Hand Wash & Sanitizers
1569,8899,"Foodgrains, Oil & Masala",Dals & Pulses,,,Ammi Samayal,Cereals & Millets
1570,8925,Beauty & Hygiene,Skin Care,,,La Shield,Face Care
1571,8945,Cleaning & Household,Fresheners & Repellents,,,DND,Mosquito Repellent
1579,9024,Beauty & Hygiene,Fragrances & Deos,,,Tous,Eau De Toilette
1581,9046,Cleaning & Household,Party & Festive Needs,,,Hankley,"Caps, Balloons & Candles"
1582,9051,"Kitchen, Garden & Pets",Steel Utensils,,,Tedemei,Lunch Boxes
1586,9071,Beauty & Hygiene,Men's Grooming,,,Fredora,Talc
1587,9079,Beauty & Hygiene,Bath & Hand Wash,,,La-par,Bathing Accessories
1589,9110,Beauty & Hygiene,Fragrances & Deos,,,Swiss Army,Gift Sets
1600,9371,Cleaning & Household,Fresheners & Repellents,,,Mikado's,Insect Repellent
1606,9440,"Kitchen, Garden & Pets",Kitchen Accessories,,,Triones,Kitchen Tools & Other Accessories
1607,9442,"Kitchen, Garden & Pets",Kitchen Accessories,,,H&B,Kitchen Tools & Other Accessories
1612,9478,Beauty & Hygiene,Health & Medicine,,,Eno ,Everyday Medicine
1613,9498,Cleaning & Household,Stationery,,,Navneet Youva,"Notebooks, Files, Folders"
1614,9510,Snacks & Branded Foods,"Noodle, Pasta, Vermicelli",,,Grabenord,Pasta & Macaroni
1615,9518,"Kitchen, Garden & Pets",Steel Utensils,,,Joyo Steel,Steel Storage Containers
1621,9582,Cleaning & Household,Stationery,,,Cartini,"Scissor, Glue & Tape"
1625,9640,"Kitchen, Garden & Pets",Kitchen Accessories,,,Kemei,Kitchen Tools & Other Accessories
1626,9658,Beauty & Hygiene,Health & Medicine,,,Volini,Everyday Medicine
1627,9683,Beauty & Hygiene,Bath & Hand Wash,,,Fiama Di Wills,Bathing Bars & Soaps
1628,9704,Cleaning & Household,Pooja Needs,,,SBE,Other Pooja Needs
1629,9708,Cleaning & Household,Fresheners & Repellents,,,Maxo,Mosquito Repellent
1630,9717,Beauty & Hygiene,Skin Care,,,Klairs,Face Care
1636,9855,Cleaning & Household,Stationery,,,Kangaro,"Notebooks, Files, Folders"
1648,10159,Cleaning & Household,Stationery,,,M Stick,"Scissor, Glue & Tape"
1650,10170,Cleaning & Household,Stationery,,,Kores,"Scissor, Glue & Tape"
1651,10182,Beauty & Hygiene,Health & Medicine,,,Manju's,Everyday Medicine
1654,10269,"Kitchen, Garden & Pets",Appliances & Electricals,,,Victor,Battery & Electrical
1657,10331,Beauty & Hygiene,Fragrances & Deos,,,Carolina Herrera ,Eau De Parfum
1658,10335,Beauty & Hygiene,Feminine Hygiene,,,Healthfab,Sanitary Napkins
1660,10390,Beauty & Hygiene,Feminine Hygiene,,,Colleen,Sanitary Napkins
1662,10445,Beauty & Hygiene,Skin Care,,,Dermal,Face Care
1665,10494,Beauty & Hygiene,Health & Medicine,,,Woodwards,Supplements & Proteins
1669,10565,Beauty & Hygiene,Hair Care,,,Cute Girl,Hair Styling
1670,10593,Beauty & Hygiene,Hair Care,,,Godrej Nupur,Hair & Scalp Treatment
1671,10603,Beauty & Hygiene,Hair Care,,,Khadi,Shampoo & Conditioner
1674,10652,Beauty & Hygiene,Men's Grooming,,,Vi-john,Hair Care & Styling
1675,10662,Beauty & Hygiene,Hair Care,,,Uproot,Hair & Scalp Treatment
1678,10679,Beauty & Hygiene,Hair Care,,,BSY,Hair Color
1679,10698,Beauty & Hygiene,Hair Care,,,Eyova,Hair Oil & Serum
1680,10703,Beauty & Hygiene,Hair Care,,,Clear,Hair Oil & Serum
1683,10767,Beauty & Hygiene,Feminine Hygiene,,,Nair ,Hair Removal
1684,10799,Beauty & Hygiene,Feminine Hygiene,,,Dimples,Hair Removal
1685,10806,Beauty & Hygiene,Hair Care,,,Daiou,Tools & Accessories
1686,10808,Beauty & Hygiene,Hair Care,,,Livon Serum,Hair Oil & Serum
1687,10819,Beauty & Hygiene,Hair Care,,,Hairmac,Hair Oil & Serum
1688,10824,Beauty & Hygiene,Hair Care,,,Prakrta,Hair Oil & Serum
1689,10825,Beauty & Hygiene,Hair Care,,,Novagold,Hair Styling
1690,10832,Beauty & Hygiene,Hair Care,,,Nova,Hair Styling
1692,10881,Beauty & Hygiene,Health & Medicine,,,Hajmola ,Ayurveda
1693,10889,Snacks & Branded Foods,"Noodle, Pasta, Vermicelli",,,Desi,Hakka Noodles
1694,10934,Beauty & Hygiene,Skin Care,,,Kaya Youth,Body Care
1695,10935,Beauty & Hygiene,Bath & Hand Wash,,,SterloMax,Hand Wash & Sanitizers
1696,10942,Beauty & Hygiene,Bath & Hand Wash,,,Varam,Hand Wash & Sanitizers
1700,11024,Beauty & Hygiene,Bath & Hand Wash,,,50 Ap ,Hand Wash & Sanitizers
1704,11090,Beauty & Hygiene,Hair Care,,,Macadamia,Hair Oil & Serum
1705,11097,Beverages,"Health Drink, Supplement",,,Horlicks,Kids (5+Yrs)
1706,11120,Beverages,"Health Drink, Supplement",,,Manna Go Grains,Kids (5+Yrs)
1707,11122,Beverages,"Health Drink, Supplement",,,Protinex ,Men & Women
1708,11159,Beauty & Hygiene,Skin Care,,,Krack,Body Care
1715,11259,Beauty & Hygiene,Bath & Hand Wash,,,Nycil,Hand Wash & Sanitizers
1716,11264,Beauty & Hygiene,Bath & Hand Wash,,,Humaste,Hand Wash & Sanitizers
1723,11438,Baby Care,Feeding & Nursing,,,Luvlap,Sippers & Bottles
1725,11448,Cleaning & Household,Stationery,,,Pilot,"Pen, Pencils"
1726,11454,Beauty & Hygiene,Fragrances & Deos,,,Crazy Moments,Men's Deodorants
1727,11458,Cleaning & Household,Party & Festive Needs,,,Boing,Holi Colours & Pichkari
1731,11550,Beauty & Hygiene,Health & Medicine,,,Coronation,Everyday Medicine
1736,11644,"Kitchen, Garden & Pets",Pet Food & Accessories,,,Catsan,Pet Cleaning & Grooming
1739,11732,Beauty & Hygiene,Men's Grooming,,,Phy,Face & Body
1740,11744,Cleaning & Household,Pooja Needs,,,GIRI,"Agarbatti, Incense Sticks"
1742,11773,Cleaning & Household,Pooja Needs,,,Ambica,"Agarbatti, Incense Sticks"
1744,11807,Beauty & Hygiene,Bath & Hand Wash,,,Aristocrat,Hand Wash & Sanitizers
1745,11813,Beauty & Hygiene,Skin Care,,,Scholl,Body Care
1746,11816,Cleaning & Household,Fresheners & Repellents,,,Catche,Mosquito Repellent
1749,11849,Beauty & Hygiene,Men's Grooming,,,Glow & Handsome,Face & Body
1751,11872,Beauty & Hygiene,Bath & Hand Wash,,,Tri-Activ,Hand Wash & Sanitizers
1753,11891,Beauty & Hygiene,Health & Medicine,,,Relispray,Everyday Medicine
1756,11964,Beauty & Hygiene,Hair Care,,,Paul Penders Botanical,Hair Oil & Serum
1757,11972,Beauty & Hygiene,Feminine Hygiene,,,Namyaa,Intimate Wash & Care
1758,12003,Baby Care,Mothers & Maternity,,,SimMom,Maternity Health Supplements
1760,12011,Beauty & Hygiene,Health & Medicine,,,Dabur Nature Care,Ayurveda
1761,12019,Beauty & Hygiene,Health & Medicine,,,Itch Guard,Everyday Medicine
1767,12163,Cleaning & Household,Stationery,,,Logitech,Electronic Accessories
1770,12197,Beauty & Hygiene,Skin Care,,,Omved,Aromatherapy
1771,12222,Beauty & Hygiene,Health & Medicine,,,Kare In,Adult Diapers
1773,12287,Cleaning & Household,Stationery,,,Dell,Electronic Accessories
1774,12290,"Kitchen, Garden & Pets",Storage & Accessories,,,Saaj,Containers Sets
1775,12306,Beauty & Hygiene,Skin Care,,,Milani,Lip Care
1777,12308,Beauty & Hygiene,Bath & Hand Wash,,,Haeal,Hand Wash & Sanitizers
1781,12417,"Kitchen, Garden & Pets",Kitchen Accessories,,,KINGSTA,Knives & Peelers
1783,12447,"Kitchen, Garden & Pets",Kitchen Accessories,,,Cartini by Godrej,Knives & Peelers
1785,12488,"Foodgrains, Oil & Masala",Dals & Pulses,,,R.K,Cereals & Millets
1786,12531,Cleaning & Household,Pooja Needs,,,GOPURAM,Other Pooja Needs
1787,12568,Beauty & Hygiene,Bath & Hand Wash,,,ACETONE,Bathing Accessories
1790,12607,Cleaning & Household,Pooja Needs,,,Arham,Other Pooja Needs
1791,12620,"Eggs, Meat & Fish",Mutton & Lamb,,,Pure South,Frozen Mutton
1792,12623,Beauty & Hygiene,Feminine Hygiene,,,ezy,Tampons & Menstrual Cups
1794,12671,Beauty & Hygiene,Bath & Hand Wash,,,Fa,Talcum Powder
1796,12717,Beauty & Hygiene,Health & Medicine,,,Muscleblaze,Supplements & Proteins
1802,12924,Beauty & Hygiene,Skin Care,,,Prowomen,Lip Care
1803,12927,Beauty & Hygiene,Skin Care,,,Swiss Beauty,Lip Care
1804,12985,Snacks & Branded Foods,"Noodle, Pasta, Vermicelli",,,Some More,Instant Noodles
1808,13053,Beauty & Hygiene,Bath & Hand Wash,,,Dear Body,Bathing Accessories
1820,13193,Beauty & Hygiene,Health & Medicine,,,Supply6,Supplements & Proteins
1826,13240,"Kitchen, Garden & Pets",Storage & Accessories,,,Homio,Lunch Boxes
1827,13269,"Kitchen, Garden & Pets",Steel Utensils,,,NanoNine,Steel Lunch Boxes
1842,13517,Beverages,"Health Drink, Supplement",,,Ovaltine,Kids (5+Yrs)
1845,13582,Beauty & Hygiene,Fragrances & Deos,,,OGA,Eau De Parfum
1847,13620,Beauty & Hygiene,Fragrances & Deos,,,Remy ,Men's Deodorants
1848,13635,Beauty & Hygiene,Skin Care,,,Aps Cosmetofood,Face Care
1865,14077,Baby Care,Baby Bath & Hygiene,,,Vilvaa,Baby Oil & Shampoo
1867,14117,Beauty & Hygiene,Skin Care,,,Dot & Key,Face Care
1869,14153,Beauty & Hygiene,Feminine Hygiene,,,VWash Wow,Sanitary Napkins
1872,14263,Beauty & Hygiene,Health & Medicine,,,Aerostar,Face Masks & Safety Gears
1873,14269,Cleaning & Household,Pooja Needs,,,Bodysoul,"Agarbatti, Incense Sticks"
1874,14283,Cleaning & Household,Stationery,,,Montex,"Pen, Pencils"
1876,14327,Beauty & Hygiene,Men's Grooming,,,Oxylife,Face & Body
1879,14395,Beauty & Hygiene,Hair Care,,,Parachute Advansed,Hair Care & Styling
1881,14510,Beauty & Hygiene,Feminine Hygiene,,,Rica,Hair Removal
1882,14555,Beauty & Hygiene,Skin Care,,,moha,Face Care
1883,14600,"Kitchen, Garden & Pets",Kitchen Accessories,,,FITDI,Choppers & Graters
1885,14639,Beauty & Hygiene,Skin Care,,,Elovera,Face Care
1899,14876,Cleaning & Household,Fresheners & Repellents,,,VITRO,Mosquito Repellent
1900,14913,Cleaning & Household,Stationery,,,KCL,Electronic Accessories
1904,15029,Cleaning & Household,Party & Festive Needs,,,Clean Planet,Gift Wraps & Bags
1906,15079,Beauty & Hygiene,Skin Care,,,Paree Pariz,Face Care
1907,15093,Cleaning & Household,Bins & Bathroom Ware,,,Shengyi,"Laundry, Storage Baskets"
1912,15222,"Eggs, Meat & Fish",Mutton & Lamb,,,Premier,Frozen Mutton
1913,15259,Beauty & Hygiene,Health & Medicine,,,Hansaplast,Antiseptics & Bandages
1915,15291,Snacks & Branded Foods,Indian Mithai,,,Aura,Fresh Sweets
1916,15304,Snacks & Branded Foods,Indian Mithai,,,Lal,"Tinned, Packed Sweets"
1917,15332,Beauty & Hygiene,Bath & Hand Wash,,,MCaffeine ,Body Scrubs & Exfoliants
1920,15359,Cleaning & Household,Fresheners & Repellents,,,Ultra,Insect Repellent
1921,15366,Cleaning & Household,Fresheners & Repellents,,,Manju,Insect Repellent
1922,15367,Cleaning & Household,Fresheners & Repellents,,,Kasturi,Air Freshener
1923,15419,Beauty & Hygiene,Fragrances & Deos,,,Udy,Men's Deodorants
1925,15518,Beauty & Hygiene,Health & Medicine,,,SHAFIB,Supplements & Proteins
1927,15546,Beauty & Hygiene,Hair Care,,,Arata Zero Chemicals,Hair & Scalp Treatment
1929,15591,Cleaning & Household,Fresheners & Repellents,,,Moskito Safe,Mosquito Repellent
1932,15667,Beauty & Hygiene,Fragrances & Deos,,,Intimate,Women's Deodorants
1938,15731,Beauty & Hygiene,Hair Care,,,Nihar,Hair Oil & Serum
1942,15882,Beauty & Hygiene,Health & Medicine,,,Madilu,Supplements & Proteins
1943,15886,Cleaning & Household,Party & Festive Needs,,,Ayurvedic Technology,Disposable Cups & Plates
1946,15900,Beauty & Hygiene,Hair Care,,,Ancient Living,Tools & Accessories
1951,16130,Beauty & Hygiene,Hair Care,,,Hair & Care,Hair Oil & Serum
1952,16144,Snacks & Branded Foods,"Noodle, Pasta, Vermicelli",,,Azad ,Hakka Noodles
1953,16166,Snacks & Branded Foods,"Noodle, Pasta, Vermicelli",,,Sunfeast YiPPee!,Instant Noodles
1955,16177,Beauty & Hygiene,Skin Care,,,Clenz U,Face Care
1959,16215,Cleaning & Household,Stationery,,,Vijay,"Notebooks, Files, Folders"
1964,16369,Beverages,"Health Drink, Supplement",,,Complan,Kids (5+Yrs)
1965,16383,Beverages,"Health Drink, Supplement",,,Boost,Kids (5+Yrs)
1966,16403,Beverages,"Health Drink, Supplement",,,Pro360,Men & Women
1967,16406,Beverages,"Health Drink, Supplement",,,Enfagrow A+,Children (2-5 Yrs)
1970,16439,"Kitchen, Garden & Pets",Kitchen Accessories,,,Ebpowon,"Strainer, Ladle, Spatula"
1971,16441,"Kitchen, Garden & Pets",Kitchen Accessories,,,JLT,"Strainer, Ladle, Spatula"
1977,16497,Beauty & Hygiene,Hair Care,,,Keratone,Hair Oil & Serum
1978,16511,Beauty & Hygiene,Skin Care,,,Pure,Body Care
1987,16555,Cleaning & Household,Pooja Needs,,,Dheepam,Lamp & Lamp Oil
1988,16564,Beauty & Hygiene,Hair Care,,,Khadi Meghdooth,Hair Oil & Serum
2000,16696,Beauty & Hygiene,Health & Medicine,,,Oilcure,Supplements & Proteins
2001,16711,Beauty & Hygiene,Health & Medicine,,,Himani,Everyday Medicine
2003,16792,Beauty & Hygiene,Fragrances & Deos,,,Zippo,Eau De Toilette
2004,16793,Beauty & Hygiene,Bath & Hand Wash,,,Treaclemoon,Shower Gel & Body Wash
2005,16799,Beauty & Hygiene,Health & Medicine,,,The Healthy Company,Supplements & Proteins
2026,17525,Beauty & Hygiene,Skin Care,,,Mirah Belle,Face Care
2046,18468,Cleaning & Household,Stationery,,,Orpat,Games & Calculators
2047,18475,"Kitchen, Garden & Pets",Kitchen Accessories,,,Gift Basket,Kitchen Tools & Other Accessories
2048,18555,Beauty & Hygiene,Health & Medicine,,,Iodex,Everyday Medicine
2050,18566,Beauty & Hygiene,Health & Medicine,,,Tiger Balm,Everyday Medicine
2051,18586,Beauty & Hygiene,Health & Medicine,,,Moov,Everyday Medicine
2053,18602,Beauty & Hygiene,Health & Medicine,,,Sloan's,Everyday Medicine
2055,18687,Beauty & Hygiene,Feminine Hygiene,,,VClass,Panty Liners
2056,18689,Beauty & Hygiene,Feminine Hygiene,,,PINQ,Panty Liners
2058,18715,Beauty & Hygiene,Feminine Hygiene,,,Carefree,Panty Liners
2065,18979,Beauty & Hygiene,Men's Grooming,,,Lapar,Nails
2071,19189,Beauty & Hygiene,Fragrances & Deos,,,Active,Body Sprays & Mists
2072,19190,Beauty & Hygiene,Fragrances & Deos,,,Backpack,Body Sprays & Mists
2073,19191,Beauty & Hygiene,Fragrances & Deos,,,Paris,Body Sprays & Mists
2074,19266,Beauty & Hygiene,Fragrances & Deos,,,Royal Mirage,Body Sprays & Mists
2079,19346,"Kitchen, Garden & Pets",Storage & Accessories,,,Steelo,Containers Sets
2080,19359,"Kitchen, Garden & Pets",Pet Food & Accessories,,,Pet Heal,Pet Cleaning & Grooming
2081,19368,"Kitchen, Garden & Pets",Storage & Accessories,,,Pearlpet,Containers Sets
2084,19448,Beauty & Hygiene,Hair Care,,,Kent,Tools & Accessories
2086,19461,Beauty & Hygiene,Skin Care,,,Lotus Professional,Face Care
2087,19476,"Kitchen, Garden & Pets",Storage & Accessories,,,Pinnacle,Lunch Boxes
2088,19515,Snacks & Branded Foods,Indian Mithai,,,FOUROCLOK,"Tinned, Packed Sweets"
2089,19572,"Kitchen, Garden & Pets",Storage & Accessories,,,Suvidha,Containers Sets
2093,19694,"Kitchen, Garden & Pets",Storage & Accessories,,,Cosmo,Containers Sets
2094,19721,Cleaning & Household,Bins & Bathroom Ware,,,Magix,"Hangers, Clips & Rope"
2095,19740,Cleaning & Household,Bins & Bathroom Ware,,,Jianan,Dustbins
2097,19768,Beauty & Hygiene,Skin Care,,,Baol,Body Care
2098,19811,"Kitchen, Garden & Pets",Storage & Accessories,,,Iqix,Lunch Boxes
2099,19819,"Kitchen, Garden & Pets",Storage & Accessories,,,Yoo Yee,Lunch Boxes
2103,19977,Beauty & Hygiene,Health & Medicine,,,Kohinoor Condoms,Sexual Wellness
2104,19983,Beauty & Hygiene,Feminine Hygiene,,,Vwash,Intimate Wash & Care
2105,20014,"Kitchen, Garden & Pets",Kitchen Accessories,,,Xishifeng,Knives & Peelers
2109,20083,Cleaning & Household,Pooja Needs,,,Porna,Lamp & Lamp Oil
2110,20091,Cleaning & Household,Pooja Needs,,,Parkash Candles,Candles & Match Box
2111,20095,Cleaning & Household,Pooja Needs,,,Gomutra,Other Pooja Needs
2118,20336,Cleaning & Household,Pooja Needs,,,Bharath Brand,Other Pooja Needs
2120,20396,Cleaning & Household,Pooja Needs,,,Asthagandha,Other Pooja Needs
2121,20413,Cleaning & Household,Pooja Needs,,,Murugesan,Other Pooja Needs
2125,20456,Beauty & Hygiene,Fragrances & Deos,,,Antonio Banderas,Eau De Toilette
2126,20533,Beauty & Hygiene,Bath & Hand Wash,,,Freale,Bathing Bars & Soaps
2127,20545,Beauty & Hygiene,Health & Medicine,,,Love Me,Sexual Wellness
2128,20558,Beauty & Hygiene,Feminine Hygiene,,,mJOY,Tampons & Menstrual Cups
2129,20600,Beauty & Hygiene,Men's Grooming,,,Bro Code,Moustache & Beard Care
2130,20626,Cleaning & Household,Bins & Bathroom Ware,,,Maruti,"Hangers, Clips & Rope"
2131,20679,Beauty & Hygiene,Bath & Hand Wash,,,Dermi Cool,Talcum Powder
2137,20828,Beauty & Hygiene,Hair Care,,,Salon,Tools & Accessories
2138,20844,Beauty & Hygiene,Hair Care,,,Chaoba,Tools & Accessories
2142,20916,Cleaning & Household,Pooja Needs,,,Jaji,Camphor & Wicks
2143,20938,Beauty & Hygiene,Bath & Hand Wash,,,Ceramic ,Bathing Accessories
2145,20961,Cleaning & Household,Stationery,,,Kangaroo,"Notebooks, Files, Folders"
2146,21004,Cleaning & Household,Pooja Needs,,,Mangalam,Camphor & Wicks
2147,21028,Beauty & Hygiene,Skin Care,,,Monika Chandra,Aromatherapy
